Composer	Title	Where	Sung
Turner	O Trinity, most blessed light	AfC1 p159	
Tye	A sound of angels	AfC1 p1	
Tye	Give almes of thy goods	AfC1 p54; OBTA p67	
Tye	Gloria laus	2ndCh p38	
Tye	O come, ye servants of the Lord (Laudate nomen Domini)	NOEAB p155; AfC1 p120	
Tye	O God be merciful	XVIAB p88	
Tye	O Holy Spirit, Lord of grace	NCAB p275	
Tye	Sing unto the Lord	XVIAB p58	
Vaet	O quam gloriosum	5thCh p35	
Vann	There is a flow'r sprung of a tree	Adv p182	
Vaughan Williams	Let us now praise famous men	NCAB p212; NOEAB p130	
Vaughan Williams	No sad thought his soul affright	CfC1 p84	
Vaughan Williams	O clap your hands	AfC4 p197	
Vaughan Williams	O how amiable	NCAB p278; OEAB p181; AfC4 p152; ECM1 p314	🟢
Vaughan Williams	O little town of Bethlehem	CfC1 p92	🟢
Vaughan Williams	O taste and see	NOEAB p166; OEAB p106; AfC4 p86; ECM1 p318	🟢
Vaughan Williams	The Blessed son of God	CfC1 p112	
Vaughan Williams (arr.)	All in the morning	CfC3 p122	
Vaughan Williams (arr.)	Gloucestershire wassail	CfC1 p160	🟢
Vaughan Williams (arr.)	This is the truth sent from above	CfC2 p202; Adv p194	🟢
Vaughan Williams (arr.)	We've been a while a-wandering	CfC1 p158	
Viadana	Exsultate justi	XVIAB p75; 1stCh p37	
Viadana	We adore Thee, O Lord Christ	OEAB p33	
Victoria	Ave Maria	3rdCh p29	🟢
Victoria	Genitori genitoque	XVIAB p66	🟢
Victoria	Jesu dulcis memoria	NCAB p181	🟢
Victoria	Jesu, the very thought of Thee	OEAB p153	
Victoria	O magnum mysterium	3rdCh p32	🟢
Victoria	O quam gloriosum	NCAB p316	🟢
Victoria	O vos omnes	3rdCh p36	🟢
Victoria	Popule meus	Ash p150	
Victoria	Pueri hebraeorum	Ash p94; 3rdCh p38	🟢
Victoria	Amicus meus	VicTenebrae p2	🟢
Victoria	Iudas mercator pessimus	VicTenebrae p5	
Victoria	Unus ex discipulis meis	VicTenebrae p8	🟢
Victoria	Eram quasi agnus	VicTenebrae p11	🟢
Victoria	Una hora	VicTenebrae p14	
Victoria	Seniores populi	VicTenebrae p17	
Victoria	Tamquam ad latronem	VicTenebrae p20	
Victoria	Tenebræ factæ sunt	VicTenebrae p23	
Victoria	Animam meam dilectam	VicTenebrae p27	
Victoria	Tradiderunt me	VicTenebrae p30	🟢
Victoria	Iesum tradidit impius	VicTenebrae p33	
Victoria	Caligaverunt oculi mei	VicTenebrae p36	🟢
Victoria	Recessit pastor noster	VicTenebrae p39	
Victoria	O vos omnes	VicTenebrae p42	🟢
Victoria	Ecce quomodo moritur	VicTenebrae p45	
Victoria	Astiterunt reges	VicTenebrae p48	
Victoria	Aestimatus sum	VicTenebrae p51	
Victoria	Sepulto Domino	VicTenebrae p54	🟢
Wade	O come, all ye faithful	CfC3 p137	
Wagner	O Christ, O blessed Lord	AfC1 p117	
Walford Davies	Blest are the pure in heart	NCAB p62	
Walford Davies	God be in my head	NCAB p140; NOEAB p76	
Walford Davies	O little town of Bethlehem	CfC3 p138	🟢
Walford Davies	O sons and daughters	Ash p225	
Walford Davies (arr.)	The holly and the ivy	CfC2 p196	🟢
Walmisley	Not unto us, O Lord	AfC1 p107	
Walter	Verbum caro factum est	4thCh p39	
Walton	A litany	AfC4 p29	
Walton	All this time	CfC2 p13	
Walton	Drop, drop, slow tears	Ash p41	
Walton	King Herod and the cock	CfC3 p186	
Walton	Set me as a seal	AfC4 p82; ECM1 p320	
Walton	What cheer?	CfC1 p162	
Warrell (arr.)	A merry Christmas	CfC1 p60	
Waters	I sing of a Maiden that is mateless	OEAB p21	🟢
Waters	Virgin-born, we bow before thee	NOEAB p242	
Weelkes	Alleluia. I heard a voice	OBTA p1	
Weelkes	Gloria in excelsis Deo	OBTA p72	
Weelkes	Hosanna to the Son of David	OBTA p113	🟢
Weelkes	O Lord, arise	OBTA p209	
Weelkes	When David heard	OBTA p343	🟢
Wesley, S. S.	Blessed be the God and Father	NCAB p64; ECM1 p324	🟢
Wesley, S. S.	Lead me, Lord	NCAB p206; NOEAB p127; AfC1 p78	🟢
Wesley, S. S.	O Lord my God	NCAB p288	
Wesley, S. S.	Praise the Lord, O my soul	ECM1 p333	
Wesley, S. S.	Thou judge of quick and dead	NCAB p458	
Wesley, S. S.	Thou wilt keep him in perfect peace	NCAB p482; ECM1 p351	🟢
Wesley, S. S.	Wash me throughly	NCAB p502; Ash p45; ECM1 p356	
White	A Prayer of St. Richard of Chichester	OEAB p177	
Whitlock	He is risen	Ash p229	
Whyte	O Christ, who art the light and day	AfC1 p118	
Wilby	God be in my head	NOEAB p77	
Willaert	O magnum mysterium	5thCh p38	
Willcocks	Birthday carol	CfC3 p149	
Willcocks	Love divine, all loves excelling	NOEAB p143	🟢
Willcocks	Unto us is born a son	CfC1 p154	
Willcocks (arr.)	A child this day is born	CfC3 p16	
Willcocks (arr.)	Angelus ad virginem	CfC3 p26	🟢
Willcocks (arr.)	Blessed be that maid Mary	CfC1 p23	
Willcocks (arr.)	Boar's head carol	CfC3 p171	
Willcocks (arr.)	Christ was born on Christmas day	CfC3 p46	
Willcocks (arr.)	Come all you worthy gentlemen	CfC3 p52	🟢
Willcocks (arr.)	Come, thou redeemer of the earth	CfC2 p71	🟢
Willcocks (arr.)	Deck the hall	CfC2 p22, CfC3 p54 (simpler arrangement)	🟢
Willcocks (arr.)	Ding Dong! Merrily on high	CfC2 p28	🟢
Willcocks (arr.)	Gabriel's message	CfC2 p191, CfC3 p170 (simpler arrangement)	🟢
Willcocks (arr.)	He smiles within his cradle	CfC3 p86	
Willcocks (arr.)	How far is it to Bethlehem?	CfC2 p66	
Willcocks (arr.)	Hush! my dear, lie still and slumber	CfC3 p89	
Willcocks (arr.)	I saw three ships	CfC1 p54	
Willcocks (arr.)	Il est né le divin enfant	CfC3 p102	🟢
Willcocks (arr.)	Infant holy, infant lowly	CfC1 p52	
Willcocks (arr.)	Lo! he comes with clouds descending	CfC3 p133	
Willcocks (arr.)	Masters in this hall	CfC2 p94	
Willcocks (arr.)	O come, all ye faithful	CfC1 p88	🟢
Willcocks (arr.)	O come, O come Emmanuel	CfC2 p120	🟢
Willcocks (arr.)	Of the Father's heart begotten	AfC1 p166	
Willcocks (arr.)	Quelle est cette odeur agréable	CfC2 p162	
Willcocks (arr.)	Resonemus laudibus	CfC2 p177	
Willcocks (arr.)	Rocking	CfC1 p70	
Willcocks (arr.)	Shepherds, in the fields abiding	CfC3 p164	
Willcocks (arr.)	Sussex Carol	CfC1 p96	🟢
Willcocks (arr.)	The cherry tree carol	CfC2 p92	
Willcocks (arr.)	The first Nowell	CfC1 p126	🟢
Willcocks (arr.)	The infant king	CfC2 p188	
Willcocks (arr.)	The Lord at first did Adam make	CfC2 p198	
Willcocks (arr.)	Tomorrow shall be my dancing day	CfC2 p203	
Willcocks (arr.)	What child is this?	CfC3 p187	
Wise	Blessed is he that considereth	NCAB p77	
Wood	Never weather-beaten sail	NCAB p253	
Wood	O thou, the central orb	NCAB p340; AfC4 p9; Adv p149; ECM1 p361	🟢
Wood	Oculi omnium	NCAB p349	
Wood (arr.)	A virgin most pure	CfC1 p14	
Wood (arr.)	God rest you merry, gentlemen	CfC1 p29	
Wood (arr.)	Hail! Blessed Virgin Mary	CfC2 p50	
Wood (arr.)	Once, as I remember	CfC3 p148	
Wood (arr.)	Past three a clock	CfC1 p101	
Wood (arr.)	This joyful Eastertide	NOEAB p229; CfC3 p198	🟢
Wood (harm.)	King Jesus hath a garden	CfC1 p68	
Wood (harm.)	Ding Dong! Merrily on high	CfC1 p28	🟢
