Composer	Title	Where	Sung
Byrd	Civitas sancti tui	Ash p4	🟢
Byrd	Haec dies	OBTA p84; ECM1 p36	🟢
Byrd	Justorum animae	OBTA p131; ECM1 p42	
Byrd	Laetentur coeli	OBTA p137	
Byrd	Mass for three voices	Loose. Chester edition	🟢
Byrd	Mass for four voices	Loose. Chester edition	🟢
Byrd	Mass for five voices	Loose. Chester edition	🟢
Byrd	Miserere mei	OBTA p157	
Byrd	O quam gloriosum	OBTA p256	
Byrd	Sacerdotes Domini	NCAB p399; XVIAB p55	
Byrd	Senex puerum	2ndCh p10	
Byrd	Sing joyfully	OBTA p287; ECM1 46	🟢
Byrd	Teach me, O Lord	OBTA p298	
Byrd	This day Christ was born	OBTA p307	
Byrd	Venite comedite	2ndCh p13	
Campbell (arr.)	Praise to God in the highest	AfC1 p179	
Carter	For the beauty of the earth	NOEAB p70	
Carter	Holy Spirit, truth divine	NOEAB p84	
Carter	Mary's Magnificat	NCAB p231	
Carter	O Lord, open thou our lips	NCAB p295	
Carter (arr.)	Angelus ad Virginem	Adv p24	🟢
Carter (arr.)	Joy is come	NOEAB p116; Ash p167	
Cashmore (after Praetorius)	Es ist ein Ros' entsprungen	74Adv p	
Charpentier	Salve puerule	CfC3 p154	
Chilcott	Be thou my vision	NOEAB p23	
Chilcott	God so loved the world	Ash p64	
Chilcott	Nova! nova!	Adv p137	
Chilcott (arr.)	Were you there?	Ash p126	
Clarke-Whitfeld	Behold, how good and joyful	AfC1 p38	
Clemens non Papa	Crux fidelis	5thCh p5	
Cleobury (arr.)	Advent Antiphons (English)	Adv p3	🟢
Cleobury (arr.)	Advent Prose (English)	Adv p11	🟢
Cleobury (arr.)	Advent Prose (Latin)	Adv p14	🟢
Cleobury (arr.)	Come, thou Redeemer of the earth	Adv p54	
Cleobury (arr.)	Let all mortal flesh keep silence	Adv p115	
Cleobury (arr.)	Man, assay	Adv p127	
Cleobury (arr.)	The Cherry Tree Carol	Adv p174	
Coleman (arr.)	Ye servants of God	OEAB p108	
Cooke	O men from the fields	CfC1 p94	
Cope	He is risen	OEAB p42	
Cope	Pleasure it is	OEAB p88	
Cornelius	The Three Kings	CfC1 p136	🟢
Corrêa	O vos omnes	NOEAB p174; AfC1 p163	
Croce	O sacrum convivium	1stCh p6	
Croce	O vos omnes	Ash p129	
Crotch	Be peace on earth	OEAB p147	
Crotch	Comfort, O Lord, the soul of thy servant	NCAB p110	
Darke	Communion Service in F	Loose. Oxford Edition.	🟢
Darlington (arr.)	Jacob's Ladder	Adv p110	
de Séverac	Tantum ergo	Ash p108	
Dering	Above Him stood the Seraphim	OEAB p155	
Dering	Factum est silentium	OBTA p57	
Dowland	He that is down needs fear no fall	OEAB p160	
Dowland	My spirit longs for Thee	OEAB p102	
Drayton	Jesu dulcis memoria	AfC4 p166	
Drese	Round me falls the night	NCAB p381	
Ebeling	All my heart this night rejoices	CfC2 p12	
Eccard	When to the temple Mary went	NCAB p516	
Elgar	Ave verum corpus	NCAB p44	🟢
Elgar	Dream of Gerontius	Loose. 1900 Novello edition	
Elgar	Light of the World	Ash p170	
Elgar	O salutaris Hostia	NOEAB p157	
Elgar	They are at rest	ECM1 p53	
Ellis	There is no rose	NOEAB p221	🟢
Esquivel	Ego sum panis vivus	3rdCh p2	
Este's Psalter	While shepherds watched their flocks by night	CfC1 p166 (arr. Ravenscroft),  CfC2 p210 (arr. Willcocks)	🟢
Farrant	Call to remembrance	NCAB p87; OBTA p50	🟢
Farrant	Hide not thou thy face	NCAB p151; OBTA p94	🟢
Farrant (attrib.)	Lord, for thy tender mercy's sake	NOEAB p138; NCAB p224; OBTA p152; Ash p13; ECM1 p76	🟢
Farrar	Almighty God, the fountain of all wisdom	AfC1 p24	
Ferguson (arr.)	People look East	Adv p157	
Ford	Almighty God, which hast me brought	NCAB p21; AfC1 p28	
Foster	Christ the Lord is risen again!	NOEAB p39	
Gardiner	Evening Hymn	NCAB p120	
Gauntlett	Once in royal David's city	CfC1 p100 (arr. Mann), CfC2 p148 (arr. Mann and Willcocks)	🟢
Gesius	Hosianna dem Sohne Davids	Ash p82	🟢
Gibbons	Almighty and everlasting God	NCAB p18; OBTA p15	🟢
Gibbons	Drop, drop, slow tears	NOEAB p52; NCAB p116	🟢
Gibbons	Hosanna to the Son of David	OBTA p99	
Gibbons	O clap your hands	OBTA p164; ECM1 p53	
Gibbons	O Lord, in thy wrath	OBTA p231; ECM1 p57	
Gibbons	Song 44	AfC1 p46	
Gibbons	Song 46	AfC1 p30	
Gibbons	This is the record of John	NCAB p454; OBTA p318	🟢
Gilbert	Let all the world	OEAB p119	
Goldschmidt	A tender shoot	Adv p31	
Goss	God so loved the world	NCAB p145	
Goss	If we believe	NCAB p168	
Goss	O pray for the peace of Jerusalem	AfC1 p146	
Goss	O Saviour of the world	NCAB p323; NOEAB p163	🟢
Goss	See amid the winter's snow	CfC1 p103	
Goss	These are they which follow the Lamb	AfC1 p200; ECM1 p78	
Greene	Thou visitest the earth	NCAB p473	🟢
Greene	Lord, let me know mine end	ECM1 p80	
Gritton	Lord that descendedst, Holy Child	AfC1 p98	
Gruber	Stille Nacht	CfC2 p184 (arr. Willcocks), CfC3 p168 (arr. Cashmore)	🟢
Guerrero	Canite tuba	Adv p49; 3rdCh p5	
Guerrero	Gloriose confessor	3rdCh p9	
Hadley	I sing of a maiden	CfC2 p86	
Hadley	My song is love unknown	ECM1 p90	
Halls	Hosanna to the Son of David	NOEAB p88	
Halls	Wash me throughly	NOEAB p244	
Händel	Ecce quomodo moritur justus	Ash p67	
Händel	Lord, I trust thee	NCAB p228; NOEAB p140; AfC1 p95	
Händel	Zadok the Priest	NCAB p541	🟢
Handl	Ecce concipies	Adv p68; 4thCh p9	
Handl	Ecce quomodo	4thCh p12	
Handl	Resonet in laudibus	4thCh p15	
Hare	Thou, O God, art praised in Sion	AfC4 p94	
Harris	Behold, the tabernacle of God	NCAB p58	
Harris	Come down, O Love divine	NCAB p94	
Harris	Faire is the heaven	AfC4 p100; ECM1 p96	
Harris	Fear not, O land	NOEAB p57	
Harris	Holy is the true light	NCAB p164	
Harris	Most glorious Lord of life	OEAB p163; Ash p182	
Harris	Vexilla Regis Cunctis (Tarry no longer; toward thine heritage)	OEAB p167	
Harris (arr.)	O strength and stay	AfC1 p156	
Harwood	O how glorious is the kingdom	ECM1 p115	
Hassler	Cantate Domino	4thCh p18	🟢
Hassler	Laetentur caeli	4thCh p21	
Hassler	Tu es Petrus	4thCh p24	
Hilton	Lord, for Thy tender mercy's sake	OEAB p27	
Hoddinott	Puer natus	AfC4 p18	
Holst	In the bleak mid-winter	CfC3 p93	🟢
Holst	Turn back O Man	NCAB p488; AfC4 p188	🟢
Holst (arr.)	Personent Hodie	CfC2 p160	
Hopkins	Kings of the Orient	CfC3 p190	
How	Advent Message	NOEAB p2	
How	Day by day	NOEAB p49	🟢
How	Praise, O praise	NCAB p359	
Howells	Like as the hart	AfC4 p158; ECM1 p126	🟢
Howells	My eyes for beauty pine	NCAB p235; NOEAB p152; OEAB p169	🟢
Howells	Tryste noel	CfC3 p172	
Hurford	Litany to the Holy Spirit	NOEAB p133	
